crimeDate,CRIME_NUM,location_description
2019-09-02,174,STREET
2019-09-03,144,STREET
2019-09-04,129,STREET
2019-09-05,103,STREET
2019-09-06,173,STREET
2019-09-07,175,STREET
2019-09-08,160,STREET
2019-09-09,161,STREET
2019-09-10,138,STREET
2019-09-11,151,STREET
2019-09-12,170,STREET
2019-09-13,185,STREET
2019-09-14,192,STREET
2019-09-15,178,STREET
2019-09-16,169,STREET
2019-09-17,167,STREET
2019-09-18,141,STREET
2019-09-19,175,STREET
2019-09-20,158,STREET
2019-09-21,182,STREET
2019-09-22,134,STREET
2019-09-23,159,STREET
2019-09-24,151,STREET
2019-09-25,149,STREET
2019-09-26,144,STREET
2019-09-27,146,STREET
2019-09-28,165,STREET
2019-09-29,172,STREET
2019-09-30,150,STREET
2019-10-01,169,STREET
2019-10-02,140,STREET
2019-10-03,135,STREET
2019-10-04,164,STREET
2019-10-05,211,STREET
2019-10-06,161,STREET
2019-10-07,141,STREET
2019-10-08,147,STREET
2019-10-09,139,STREET
2019-10-10,121,STREET
2019-10-11,171,STREET
2019-10-12,189,STREET
2019-10-13,195,STREET
2019-10-14,149,STREET
2019-10-15,158,STREET
2019-10-16,182,STREET
2019-10-17,150,STREET
2019-10-18,161,STREET
2019-10-19,145,STREET
2019-10-20,187,STREET
2019-10-21,147,STREET
2019-10-22,162,STREET
2019-10-23,164,STREET
2019-10-24,151,STREET
2019-10-25,171,STREET
2019-10-26,114,STREET
2019-10-27,164,STREET
2019-10-28,143,STREET
2019-10-29,126,STREET
2019-10-30,133,STREET
2019-10-31,109,STREET
2019-11-01,134,STREET
2019-11-02,135,STREET
2019-11-03,187,STREET
2019-11-04,118,STREET
2019-11-05,122,STREET
2019-11-06,118,STREET
2019-11-07,140,STREET
2019-11-08,152,STREET
2019-11-09,135,STREET
2019-11-10,152,STREET
2019-11-11,97,STREET
2019-11-12,90,STREET
2019-11-13,116,STREET
2019-11-14,116,STREET
2019-11-15,179,STREET
2019-11-16,153,STREET
2019-11-17,162,STREET
2019-11-18,128,STREET
