crimeDate,CRIME_NUM,location_description
2021-12-04,148,STREET
2021-12-05,135,STREET
2021-12-06,127,STREET
2021-12-07,121,STREET
2021-12-08,146,STREET
2021-12-09,157,STREET
2021-12-10,129,STREET
2021-12-11,161,STREET
2021-12-12,172,STREET
2021-12-13,156,STREET
2021-12-14,105,STREET
2021-12-15,134,STREET
2021-12-16,132,STREET
2021-12-17,140,STREET
2021-12-18,151,STREET
2021-12-19,115,STREET
2021-12-20,115,STREET
2021-12-21,106,STREET
2021-12-22,104,STREET
2021-12-23,115,STREET
2021-12-24,98,STREET
2021-12-25,113,STREET
2021-12-26,91,STREET
2021-12-27,138,STREET
2021-12-28,108,STREET
2021-12-29,122,STREET
2021-12-30,150,STREET
2021-12-31,154,STREET
