crimeDate,CRIME_NUM,location_description,day,month,year
2019-01-01,179,STREET,2,01,2019
2019-01-01,220,APARTMENT,2,01,2019
2019-01-01,287,RESIDENCE,2,01,2019
2019-01-01,19,PARKING LOT/GARAGE(NON.RESID.),2,01,2019
2019-01-01,50,OTHER,2,01,2019
2019-01-01,1,CEMETARY,2,01,2019
2019-01-01,29,RESTAURANT,2,01,2019
2019-01-01,10,DEPARTMENT STORE,2,01,2019
2019-01-01,5,HOSPITAL BUILDING/GROUNDS,2,01,2019
2019-01-01,23,ALLEY,2,01,2019
2019-01-01,4,RESIDENCE-GARAGE,2,01,2019
2019-01-01,16,BAR OR TAVERN,2,01,2019
2019-01-01,3,CTA BUS,2,01,2019
2019-01-01,51,SIDEWALK,2,01,2019
2019-01-01,2,TAXICAB,2,01,2019
2019-01-01,14,SMALL RETAIL STORE,2,01,2019
2019-01-01,21,,2,01,2019
2019-01-01,1,SCHOOL - PUBLIC GROUNDS,2,01,2019
2019-01-01,2,CTA STATION,2,01,2019
2019-01-01,10,HOTEL/MOTEL,2,01,2019
2019-01-01,3,CHA APARTMENT,2,01,2019
2019-01-01,4,BANK,2,01,2019
2019-01-01,10,RESIDENCE PORCH/HALLWAY,2,01,2019
2019-01-01,1,SCHOOL - PUBLIC BUILDING,2,01,2019
2019-01-01,2,DAY CARE CENTER,2,01,2019
2019-01-01,19,RESIDENTIAL YARD (FRONT/BACK),2,01,2019
2019-01-01,5,OTHER (SPECIFY),2,01,2019
2019-01-01,2,CTA GARAGE / OTHER PROPERTY,2,01,2019
2019-01-01,10,GAS STATION,2,01,2019
2019-01-01,3,"SCHOOL, PUBLIC, BUILDING",2,01,2019
2019-01-01,3,CTA PLATFORM,2,01,2019
2019-01-01,1,HOSPITAL BUILDING / GROUNDS,2,01,2019
2019-01-01,1,ATM (AUTOMATIC TELLER MACHINE),2,01,2019
2019-01-01,1,POLICE FACILITY / VEHICLE PARKING LOT,2,01,2019
2019-01-01,6,CTA TRAIN,2,01,2019
2019-01-01,3,"SCHOOL, PUBLIC, GROUNDS",2,01,2019
2019-01-01,1,GOVERNMENT BUILDING / PROPERTY,2,01,2019
2019-01-01,3,CONVENIENCE STORE,2,01,2019
2019-01-01,1,CTA BUS STOP,2,01,2019
2019-01-01,8,VEHICLE NON-COMMERCIAL,2,01,2019
2019-01-01,3,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",2,01,2019
2019-01-01,1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,01,2019
2019-01-01,1,FACTORY/MANUFACTURING BUILDING,2,01,2019
2019-01-01,1,CHA PARKING LOT/GROUNDS,2,01,2019
2019-01-01,2,GOVERNMENT BUILDING/PROPERTY,2,01,2019
2019-01-01,3,POLICE FACILITY/VEH PARKING LOT,2,01,2019
2019-01-01,6,COMMERCIAL / BUSINESS OFFICE,2,01,2019
2019-01-01,1,ABANDONED BUILDING,2,01,2019
2019-01-01,4,TAVERN/LIQUOR STORE,2,01,2019
2019-01-01,3,NURSING HOME/RETIREMENT HOME,2,01,2019
2019-01-01,5,GROCERY FOOD STORE,2,01,2019
2019-01-01,3,DRIVEWAY - RESIDENTIAL,2,01,2019
2019-01-01,2,AUTO / BOAT / RV DEALERSHIP,2,01,2019
2019-01-01,1,PARKING LOT / GARAGE (NON RESIDENTIAL),2,01,2019
2019-01-01,1,"SCHOOL, PRIVATE, BUILDING",2,01,2019
2019-01-01,1,PARK PROPERTY,2,01,2019
2019-01-01,1,VEHICLE-COMMERCIAL,2,01,2019
2019-01-01,1,CHA HALLWAY/STAIRWELL/ELEVATOR,2,01,2019
2019-01-01,1,DRUG STORE,2,01,2019
2019-01-01,1,SPORTS ARENA/STADIUM,2,01,2019
2019-01-02,105,APARTMENT,3,01,2019
2019-01-02,21,OTHER,3,01,2019
2019-01-02,127,RESIDENCE,3,01,2019
2019-01-02,148,STREET,3,01,2019
2019-01-02,1,OTHER (SPECIFY),3,01,2019
2019-01-02,2,DRIVEWAY - RESIDENTIAL,3,01,2019
2019-01-02,1,COIN OPERATED MACHINE,3,01,2019
2019-01-02,1,CURRENCY EXCHANGE,3,01,2019
2019-01-02,1,COLLEGE/UNIVERSITY RESIDENCE HALL,3,01,2019
2019-01-02,44,SIDEWALK,3,01,2019
2019-01-02,2,CTA STATION,3,01,2019
2019-01-02,2,VEHICLE - DELIVERY TRUCK,3,01,2019
2019-01-02,10,ALLEY,3,01,2019
2019-01-02,12,SMALL RETAIL STORE,3,01,2019
2019-01-02,5,CONVENIENCE STORE,3,01,2019
2019-01-02,11,GAS STATION,3,01,2019
2019-01-02,11,PARKING LOT/GARAGE(NON.RESID.),3,01,2019
2019-01-02,11,VEHICLE NON-COMMERCIAL,3,01,2019
2019-01-02,14,RESTAURANT,3,01,2019
2019-01-02,14,CTA TRAIN,3,01,2019
2019-01-02,12,RESIDENTIAL YARD (FRONT/BACK),3,01,2019
2019-01-02,1,ATHLETIC CLUB,3,01,2019
2019-01-02,12,DEPARTMENT STORE,3,01,2019
2019-01-02,5,COMMERCIAL / BUSINESS OFFICE,3,01,2019
2019-01-02,3,DRUG STORE,3,01,2019
2019-01-02,3,HOSPITAL BUILDING/GROUNDS,3,01,2019
2019-01-02,2,CTA BUS STOP,3,01,2019
2019-01-02,6,,3,01,2019
2019-01-02,6,BAR OR TAVERN,3,01,2019
2019-01-02,11,RESIDENCE PORCH/HALLWAY,3,01,2019
2019-01-02,3,CTA PLATFORM,3,01,2019
2019-01-02,6,RESIDENCE-GARAGE,3,01,2019
2019-01-02,8,GROCERY FOOD STORE,3,01,2019
2019-01-02,3,BANK,3,01,2019
2019-01-02,5,POLICE FACILITY/VEH PARKING LOT,3,01,2019
2019-01-02,1,SPORTS ARENA/STADIUM,3,01,2019
2019-01-02,1,VEHICLE-COMMERCIAL,3,01,2019
2019-01-02,2,CHA APARTMENT,3,01,2019
2019-01-02,1,APPLIANCE STORE,3,01,2019
2019-01-02,1,OTHER COMMERCIAL TRANSPORTATION,3,01,2019
2019-01-02,1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3,01,2019
2019-01-02,1,"SCHOOL, PRIVATE, BUILDING",3,01,2019
2019-01-02,1,NURSING HOME/RETIREMENT HOME,3,01,2019
2019-01-02,1,CTA GARAGE / OTHER PROPERTY,3,01,2019
2019-01-02,1,LIBRARY,3,01,2019
2019-01-02,1,ABANDONED BUILDING,3,01,2019
2019-01-02,1,FIRE STATION,3,01,2019
2019-01-02,1,CHA HALLWAY/STAIRWELL/ELEVATOR,3,01,2019
2019-01-02,1,WAREHOUSE,3,01,2019
2019-01-02,1,HOTEL/MOTEL,3,01,2019
2019-01-02,1,AIRPORT/AIRCRAFT,3,01,2019
2019-01-02,1,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,3,01,2019
2019-01-02,1,MEDICAL/DENTAL OFFICE,3,01,2019
2019-01-02,1,VACANT LOT/LAND,3,01,2019
2019-01-02,1,TAVERN/LIQUOR STORE,3,01,2019
2019-01-02,1,CHA PARKING LOT/GROUNDS,3,01,2019
2019-01-02,1,RESIDENCE - GARAGE,3,01,2019
2019-01-02,1,FACTORY / MANUFACTURING BUILDING,3,01,2019
2019-01-02,1,TAXICAB,3,01,2019
2019-01-02,1,AIRPORT EXTERIOR - NON-SECURE AREA,3,01,2019
2019-01-03,133,RESIDENCE,4,01,2019
2019-01-03,14,VEHICLE NON-COMMERCIAL,4,01,2019
2019-01-03,27,PARKING LOT/GARAGE(NON.RESID.),4,01,2019
2019-01-03,190,STREET,4,01,2019
2019-01-03,19,RESTAURANT,4,01,2019
2019-01-03,102,APARTMENT,4,01,2019
2019-01-03,23,SMALL RETAIL STORE,4,01,2019
2019-01-03,17,ALLEY,4,01,2019
2019-01-03,38,OTHER,4,01,2019
2019-01-03,4,DRUG STORE,4,01,2019
2019-01-03,5,CTA TRAIN,4,01,2019
2019-01-03,1,HOTEL / MOTEL,4,01,2019
2019-01-03,12,RESIDENCE PORCH/HALLWAY,4,01,2019
2019-01-03,1,AUTO / BOAT / RV DEALERSHIP,4,01,2019
2019-01-03,1,ATHLETIC CLUB,4,01,2019
2019-01-03,44,SIDEWALK,4,01,2019
2019-01-03,2,VACANT LOT/LAND,4,01,2019
2019-01-03,1,TAXICAB,4,01,2019
2019-01-03,2,CONSTRUCTION SITE,4,01,2019
2019-01-03,1,FACTORY/MANUFACTURING BUILDING,4,01,2019
2019-01-03,9,RESIDENTIAL YARD (FRONT/BACK),4,01,2019
2019-01-03,2,HOTEL/MOTEL,4,01,2019
2019-01-03,1,GOVERNMENT BUILDING/PROPERTY,4,01,2019
2019-01-03,3,CTA STATION,4,01,2019
2019-01-03,7,BANK,4,01,2019
2019-01-03,2,AUTO,4,01,2019
2019-01-03,6,GAS STATION,4,01,2019
2019-01-03,1,ABANDONED BUILDING,4,01,2019
2019-01-03,12,RESIDENCE-GARAGE,4,01,2019
2019-01-03,14,DEPARTMENT STORE,4,01,2019
2019-01-03,1,CURRENCY EXCHANGE,4,01,2019
2019-01-03,2,AIRCRAFT,4,01,2019
2019-01-03,1,CHA PARKING LOT/GROUNDS,4,01,2019
2019-01-03,1,HIGHWAY/EXPRESSWAY,4,01,2019
2019-01-03,3,,4,01,2019
2019-01-03,6,GROCERY FOOD STORE,4,01,2019
2019-01-03,1,PARK PROPERTY,4,01,2019
2019-01-03,5,CTA PLATFORM,4,01,2019
2019-01-03,3,DRIVEWAY - RESIDENTIAL,4,01,2019
2019-01-03,2,POLICE FACILITY/VEH PARKING LOT,4,01,2019
2019-01-03,1,BAR OR TAVERN,4,01,2019
2019-01-03,1,CTA BUS,4,01,2019
2019-01-03,1,"SCHOOL, PRIVATE, BUILDING",4,01,2019
2019-01-03,9,CONVENIENCE STORE,4,01,2019
2019-01-03,2,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4,01,2019
2019-01-03,3,COMMERCIAL / BUSINESS OFFICE,4,01,2019
2019-01-03,1,"SCHOOL, PUBLIC, GROUNDS",4,01,2019
2019-01-03,1,CTA GARAGE / OTHER PROPERTY,4,01,2019
2019-01-03,3,ATM (AUTOMATIC TELLER MACHINE),4,01,2019
2019-01-03,1,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,4,01,2019
2019-01-03,1,DAY CARE CENTER,4,01,2019
2019-01-03,3,HOSPITAL BUILDING/GROUNDS,4,01,2019
2019-01-03,1,CREDIT UNION,4,01,2019
2019-01-03,1,FEDERAL BUILDING,4,01,2019
2019-01-03,1,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4,01,2019
2019-01-03,1,NURSING HOME/RETIREMENT HOME,4,01,2019
2019-01-03,1,BOWLING ALLEY,4,01,2019
2019-01-03,1,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,4,01,2019
2019-01-04,1,TAXICAB,5,01,2019
2019-01-04,61,SIDEWALK,5,01,2019
2019-01-04,4,NURSING HOME/RETIREMENT HOME,5,01,2019
2019-01-04,166,STREET,5,01,2019
2019-01-04,112,RESIDENCE,5,01,2019
2019-01-04,2,"SCHOOL, PUBLIC, BUILDING",5,01,2019
2019-01-04,1,CHA HALLWAY/STAIRWELL/ELEVATOR,5,01,2019
2019-01-04,5,BAR OR TAVERN,5,01,2019
2019-01-04,7,BANK,5,01,2019
2019-01-04,31,RESTAURANT,5,01,2019
2019-01-04,3,CTA BUS STOP,5,01,2019
2019-01-04,10,GROCERY FOOD STORE,5,01,2019
2019-01-04,17,DEPARTMENT STORE,5,01,2019
2019-01-04,89,APARTMENT,5,01,2019
2019-01-04,15,RESIDENCE PORCH/HALLWAY,5,01,2019
2019-01-04,21,ALLEY,5,01,2019
2019-01-04,32,OTHER,5,01,2019
2019-01-04,25,PARKING LOT/GARAGE(NON.RESID.),5,01,2019
2019-01-04,12,RESIDENCE-GARAGE,5,01,2019
2019-01-04,3,CAR WASH,5,01,2019
2019-01-04,2,DRUG STORE,5,01,2019
2019-01-04,17,VEHICLE NON-COMMERCIAL,5,01,2019
2019-01-04,9,GAS STATION,5,01,2019
2019-01-04,6,CTA TRAIN,5,01,2019
2019-01-04,13,RESIDENTIAL YARD (FRONT/BACK),5,01,2019
2019-01-04,5,CTA STATION,5,01,2019
2019-01-04,4,DRIVEWAY - RESIDENTIAL,5,01,2019
2019-01-04,6,COMMERCIAL / BUSINESS OFFICE,5,01,2019
2019-01-04,2,COIN OPERATED MACHINE,5,01,2019
2019-01-04,5,POLICE FACILITY/VEH PARKING LOT,5,01,2019
2019-01-04,4,CHA PARKING LOT/GROUNDS,5,01,2019
2019-01-04,6,HOSPITAL BUILDING/GROUNDS,5,01,2019
2019-01-04,1,RESIDENCE - PORCH / HALLWAY,5,01,2019
2019-01-04,1,BARBERSHOP,5,01,2019
2019-01-04,19,SMALL RETAIL STORE,5,01,2019
2019-01-04,1,MOVIE HOUSE/THEATER,5,01,2019
2019-01-04,7,CTA PLATFORM,5,01,2019
2019-01-04,4,VACANT LOT/LAND,5,01,2019
2019-01-04,1,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,5,01,2019
2019-01-04,2,LIBRARY,5,01,2019
2019-01-04,2,CTA GARAGE / OTHER PROPERTY,5,01,2019
2019-01-04,1,CLEANING STORE,5,01,2019
2019-01-04,1,ATM (AUTOMATIC TELLER MACHINE),5,01,2019
2019-01-04,4,HOTEL/MOTEL,5,01,2019
2019-01-04,2,PARK PROPERTY,5,01,2019
2019-01-04,2,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5,01,2019
2019-01-04,2,GOVERNMENT BUILDING/PROPERTY,5,01,2019
2019-01-04,2,TAVERN/LIQUOR STORE,5,01,2019
2019-01-04,6,CONVENIENCE STORE,5,01,2019
2019-01-04,1,CONSTRUCTION SITE,5,01,2019
2019-01-04,2,CHA APARTMENT,5,01,2019
2019-01-04,4,,5,01,2019
2019-01-04,1,VEHICLE-COMMERCIAL,5,01,2019
2019-01-04,2,DAY CARE CENTER,5,01,2019
2019-01-04,1,ATHLETIC CLUB,5,01,2019
2019-01-04,2,SPORTS ARENA/STADIUM,5,01,2019
2019-01-04,1,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,5,01,2019
2019-01-04,1,FACTORY/MANUFACTURING BUILDING,5,01,2019
2019-01-05,176,STREET,6,01,2019
2019-01-05,4,CHA PARKING LOT/GROUNDS,6,01,2019
2019-01-05,32,OTHER,6,01,2019
2019-01-05,19,PARKING LOT/GARAGE(NON.RESID.),6,01,2019
2019-01-05,131,RESIDENCE,6,01,2019
2019-01-05,1,OTHER (SPECIFY),6,01,2019
2019-01-05,5,CONVENIENCE STORE,6,01,2019
2019-01-05,1,ATM (AUTOMATIC TELLER MACHINE),6,01,2019
2019-01-05,4,HOSPITAL BUILDING/GROUNDS,6,01,2019
2019-01-05,5,CTA STATION,6,01,2019
2019-01-05,82,SIDEWALK,6,01,2019
2019-01-05,9,GROCERY FOOD STORE,6,01,2019
2019-01-05,32,RESTAURANT,6,01,2019
2019-01-05,10,GAS STATION,6,01,2019
2019-01-05,22,SMALL RETAIL STORE,6,01,2019
2019-01-05,3,PARK PROPERTY,6,01,2019
2019-01-05,10,CTA TRAIN,6,01,2019
2019-01-05,10,RESIDENTIAL YARD (FRONT/BACK),6,01,2019
2019-01-05,18,VEHICLE NON-COMMERCIAL,6,01,2019
2019-01-05,101,APARTMENT,6,01,2019
2019-01-05,2,,6,01,2019
2019-01-05,3,ATHLETIC CLUB,6,01,2019
2019-01-05,1,CTA GARAGE / OTHER PROPERTY,6,01,2019
2019-01-05,2,"SCHOOL, PRIVATE, BUILDING",6,01,2019
2019-01-05,10,RESIDENCE PORCH/HALLWAY,6,01,2019
2019-01-05,20,ALLEY,6,01,2019
2019-01-05,1,APPLIANCE STORE,6,01,2019
2019-01-05,1,POLICE FACILITY/VEH PARKING LOT,6,01,2019
2019-01-05,3,CTA PLATFORM,6,01,2019
2019-01-05,11,RESIDENCE-GARAGE,6,01,2019
2019-01-05,2,OTHER RAILROAD PROP / TRAIN DEPOT,6,01,2019
2019-01-05,10,DEPARTMENT STORE,6,01,2019
2019-01-05,5,HOTEL/MOTEL,6,01,2019
2019-01-05,3,CHA APARTMENT,6,01,2019
2019-01-05,3,DRIVEWAY - RESIDENTIAL,6,01,2019
2019-01-05,4,DRUG STORE,6,01,2019
2019-01-05,2,AIRCRAFT,6,01,2019
2019-01-05,4,COMMERCIAL / BUSINESS OFFICE,6,01,2019
2019-01-05,11,BAR OR TAVERN,6,01,2019
2019-01-05,1,SCHOOL - PUBLIC BUILDING,6,01,2019
2019-01-05,1,CAR WASH,6,01,2019
2019-01-05,2,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",6,01,2019
2019-01-05,2,VACANT LOT/LAND,6,01,2019
2019-01-05,1,AUTO / BOAT / RV DEALERSHIP,6,01,2019
2019-01-05,3,NURSING HOME/RETIREMENT HOME,6,01,2019
2019-01-05,2,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,6,01,2019
2019-01-05,1,GOVERNMENT BUILDING/PROPERTY,6,01,2019
2019-01-05,1,MOVIE HOUSE/THEATER,6,01,2019
2019-01-05,1,TAXICAB,6,01,2019
2019-01-05,1,BARBERSHOP,6,01,2019
2019-01-05,1,OTHER COMMERCIAL TRANSPORTATION,6,01,2019
2019-01-05,1,"SCHOOL, PUBLIC, BUILDING",6,01,2019
2019-01-05,1,DAY CARE CENTER,6,01,2019
2019-01-06,124,APARTMENT,7,01,2019
2019-01-06,98,RESIDENCE,7,01,2019
2019-01-06,138,STREET,7,01,2019
2019-01-06,35,SIDEWALK,7,01,2019
2019-01-06,1,ABANDONED BUILDING,7,01,2019
2019-01-06,20,OTHER,7,01,2019
2019-01-06,6,CTA TRAIN,7,01,2019
2019-01-06,1,NURSING HOME/RETIREMENT HOME,7,01,2019
2019-01-06,7,GROCERY FOOD STORE,7,01,2019
2019-01-06,13,BAR OR TAVERN,7,01,2019
2019-01-06,21,SMALL RETAIL STORE,7,01,2019
2019-01-06,7,DEPARTMENT STORE,7,01,2019
2019-01-06,6,HOTEL/MOTEL,7,01,2019
2019-01-06,26,PARKING LOT/GARAGE(NON.RESID.),7,01,2019
2019-01-06,12,RESIDENTIAL YARD (FRONT/BACK),7,01,2019
2019-01-06,5,CONVENIENCE STORE,7,01,2019
2019-01-06,16,RESTAURANT,7,01,2019
2019-01-06,3,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",7,01,2019
2019-01-06,15,VEHICLE NON-COMMERCIAL,7,01,2019
2019-01-06,3,CHA APARTMENT,7,01,2019
2019-01-06,12,GAS STATION,7,01,2019
2019-01-06,3,HOSPITAL BUILDING/GROUNDS,7,01,2019
2019-01-06,1,BOAT/WATERCRAFT,7,01,2019
2019-01-06,4,CTA PLATFORM,7,01,2019
2019-01-06,5,PARK PROPERTY,7,01,2019
2019-01-06,8,RESIDENCE PORCH/HALLWAY,7,01,2019
2019-01-06,1,FEDERAL BUILDING,7,01,2019
2019-01-06,9,RESIDENCE-GARAGE,7,01,2019
2019-01-06,1,GOVERNMENT BUILDING/PROPERTY,7,01,2019
2019-01-06,15,ALLEY,7,01,2019
2019-01-06,7,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,7,01,2019
2019-01-06,4,CTA BUS,7,01,2019
2019-01-06,5,CTA STATION,7,01,2019
2019-01-06,2,CTA BUS STOP,7,01,2019
2019-01-06,4,DRUG STORE,7,01,2019
2019-01-06,2,CURRENCY EXCHANGE,7,01,2019
2019-01-06,1,VACANT LOT/LAND,7,01,2019
2019-01-06,4,SPORTS ARENA/STADIUM,7,01,2019
2019-01-06,1,,7,01,2019
2019-01-06,1,BANK,7,01,2019
2019-01-06,1,AIRCRAFT,7,01,2019
2019-01-06,1,AIRPORT PARKING LOT,7,01,2019
2019-01-06,1,CTA GARAGE / OTHER PROPERTY,7,01,2019
2019-01-06,1,"SCHOOL, PUBLIC, GROUNDS",7,01,2019
2019-01-06,1,TAVERN/LIQUOR STORE,7,01,2019
2019-01-06,1,TAXICAB,7,01,2019
2019-01-06,1,OTHER RAILROAD PROP / TRAIN DEPOT,7,01,2019
2019-01-06,1,DRIVEWAY - RESIDENTIAL,7,01,2019
2019-01-06,3,COMMERCIAL / BUSINESS OFFICE,7,01,2019
2019-01-06,1,ATM (AUTOMATIC TELLER MACHINE),7,01,2019
2019-01-06,1,ATHLETIC CLUB,7,01,2019
2019-01-06,1,CTA TRACKS - RIGHT OF WAY,7,01,2019
2019-01-06,1,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,7,01,2019
2019-01-06,1,CHA PARKING LOT/GROUNDS,7,01,2019
2019-01-06,1,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,7,01,2019
2019-01-07,121,RESIDENCE,1,01,2019
2019-01-07,6,BANK,1,01,2019
2019-01-07,36,SIDEWALK,1,01,2019
2019-01-07,127,STREET,1,01,2019
2019-01-07,21,PARKING LOT/GARAGE(NON.RESID.),1,01,2019
2019-01-07,1,CHA APARTMENT,1,01,2019
2019-01-07,17,SMALL RETAIL STORE,1,01,2019
2019-01-07,17,RESTAURANT,1,01,2019
2019-01-07,100,APARTMENT,1,01,2019
2019-01-07,7,BAR OR TAVERN,1,01,2019
2019-01-07,1,SPORTS ARENA/STADIUM,1,01,2019
2019-01-07,19,RESIDENCE PORCH/HALLWAY,1,01,2019
2019-01-07,9,CTA TRAIN,1,01,2019
2019-01-07,4,"SCHOOL, PRIVATE, BUILDING",1,01,2019
2019-01-07,12,VEHICLE NON-COMMERCIAL,1,01,2019
2019-01-07,29,OTHER,1,01,2019
2019-01-07,9,RESIDENCE-GARAGE,1,01,2019
2019-01-07,10,COMMERCIAL / BUSINESS OFFICE,1,01,2019
2019-01-07,16,DEPARTMENT STORE,1,01,2019
2019-01-07,6,RESIDENTIAL YARD (FRONT/BACK),1,01,2019
2019-01-07,1,COIN OPERATED MACHINE,1,01,2019
2019-01-07,14,GAS STATION,1,01,2019
2019-01-07,2,PARKING LOT,1,01,2019
2019-01-07,3,CTA BUS,1,01,2019
2019-01-07,1,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,1,01,2019
2019-01-07,5,DRUG STORE,1,01,2019
2019-01-07,6,HOTEL/MOTEL,1,01,2019
2019-01-07,1,APPLIANCE STORE,1,01,2019
2019-01-07,11,"SCHOOL, PUBLIC, BUILDING",1,01,2019
2019-01-07,1,ATM (AUTOMATIC TELLER MACHINE),1,01,2019
2019-01-07,3,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1,01,2019
2019-01-07,1,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1,01,2019
2019-01-07,4,POLICE FACILITY/VEH PARKING LOT,1,01,2019
2019-01-07,2,DRIVEWAY - RESIDENTIAL,1,01,2019
2019-01-07,8,GROCERY FOOD STORE,1,01,2019
2019-01-07,1,DAY CARE CENTER,1,01,2019
2019-01-07,3,CONVENIENCE STORE,1,01,2019
2019-01-07,2,PARK PROPERTY,1,01,2019
2019-01-07,3,,1,01,2019
2019-01-07,1,OTHER COMMERCIAL TRANSPORTATION,1,01,2019
2019-01-07,4,ALLEY,1,01,2019
2019-01-07,1,ATHLETIC CLUB,1,01,2019
2019-01-07,1,"SCHOOL, PRIVATE, GROUNDS",1,01,2019
2019-01-07,2,GOVERNMENT BUILDING/PROPERTY,1,01,2019
2019-01-07,4,NURSING HOME/RETIREMENT HOME,1,01,2019
2019-01-07,1,PAWN SHOP,1,01,2019
2019-01-07,2,CURRENCY EXCHANGE,1,01,2019
2019-01-07,3,"SCHOOL, PUBLIC, GROUNDS",1,01,2019
2019-01-07,1,CHA PARKING LOT/GROUNDS,1,01,2019
2019-01-07,1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1,01,2019
2019-01-07,1,CTA GARAGE / OTHER PROPERTY,1,01,2019
2019-01-07,1,AUTO / BOAT / RV DEALERSHIP,1,01,2019
2019-01-07,1,MEDICAL/DENTAL OFFICE,1,01,2019
2019-01-07,1,CTA BUS STOP,1,01,2019
2019-01-07,1,FACTORY/MANUFACTURING BUILDING,1,01,2019
2019-01-07,2,CTA STATION,1,01,2019
2019-01-07,1,CONSTRUCTION SITE,1,01,2019
2019-01-07,1,TAXICAB,1,01,2019
2019-01-07,1,LIBRARY,1,01,2019
2019-01-07,1,CLEANING STORE,1,01,2019
2019-01-07,1,HOSPITAL BUILDING/GROUNDS,1,01,2019
2019-01-07,1,CTA PLATFORM,1,01,2019
2019-01-07,1,TAVERN/LIQUOR STORE,1,01,2019
2019-01-07,1,VACANT LOT/LAND,1,01,2019
2019-01-08,3,CURRENCY EXCHANGE,2,01,2019
2019-01-08,118,RESIDENCE,2,01,2019
2019-01-08,15,RESIDENCE-GARAGE,2,01,2019
2019-01-08,135,STREET,2,01,2019
2019-01-08,8,CTA TRAIN,2,01,2019
2019-01-08,35,OTHER,2,01,2019
2019-01-08,105,APARTMENT,2,01,2019
2019-01-08,10,GROCERY FOOD STORE,2,01,2019
2019-01-08,16,ALLEY,2,01,2019
2019-01-08,45,SIDEWALK,2,01,2019
2019-01-08,5,CTA PLATFORM,2,01,2019
2019-01-08,1,VEHICLE - DELIVERY TRUCK,2,01,2019
2019-01-08,19,SMALL RETAIL STORE,2,01,2019
2019-01-08,3,CONSTRUCTION SITE,2,01,2019
2019-01-08,12,PARKING LOT/GARAGE(NON.RESID.),2,01,2019
2019-01-08,3,NURSING HOME/RETIREMENT HOME,2,01,2019
2019-01-08,9,COMMERCIAL / BUSINESS OFFICE,2,01,2019
2019-01-08,2,HOTEL/MOTEL,2,01,2019
2019-01-08,8,CONVENIENCE STORE,2,01,2019
2019-01-08,14,RESTAURANT,2,01,2019
2019-01-08,4,DRIVEWAY - RESIDENTIAL,2,01,2019
2019-01-08,10,RESIDENCE PORCH/HALLWAY,2,01,2019
2019-01-08,13,VEHICLE NON-COMMERCIAL,2,01,2019
2019-01-08,8,GAS STATION,2,01,2019
2019-01-08,1,DAY CARE CENTER,2,01,2019
2019-01-08,12,RESIDENTIAL YARD (FRONT/BACK),2,01,2019
2019-01-08,7,,2,01,2019
2019-01-08,1,ATM (AUTOMATIC TELLER MACHINE),2,01,2019
2019-01-08,13,"SCHOOL, PUBLIC, BUILDING",2,01,2019
2019-01-08,9,DEPARTMENT STORE,2,01,2019
2019-01-08,4,BANK,2,01,2019
2019-01-08,1,TAVERN/LIQUOR STORE,2,01,2019
2019-01-08,6,HOSPITAL BUILDING/GROUNDS,2,01,2019
2019-01-08,2,"SCHOOL, PRIVATE, BUILDING",2,01,2019
2019-01-08,5,CTA BUS STOP,2,01,2019
2019-01-08,2,AIRPORT EXTERIOR - NON-SECURE AREA,2,01,2019
2019-01-08,7,"SCHOOL, PUBLIC, GROUNDS",2,01,2019
2019-01-08,2,ABANDONED BUILDING,2,01,2019
2019-01-08,1,POLICE FACILITY/VEH PARKING LOT,2,01,2019
2019-01-08,3,CTA BUS,2,01,2019
2019-01-08,1,CHA PARKING LOT/GROUNDS,2,01,2019
2019-01-08,5,CTA STATION,2,01,2019
2019-01-08,3,ATHLETIC CLUB,2,01,2019
2019-01-08,1,PARK PROPERTY,2,01,2019
2019-01-08,4,VEHICLE-COMMERCIAL,2,01,2019
2019-01-08,1,CHA HALLWAY/STAIRWELL/ELEVATOR,2,01,2019
2019-01-08,1,POOL ROOM,2,01,2019
2019-01-08,1,PAWN SHOP,2,01,2019
2019-01-08,2,DRUG STORE,2,01,2019
2019-01-08,1,APPLIANCE STORE,2,01,2019
2019-01-08,1,TAXICAB,2,01,2019
2019-01-08,1,CLEANING STORE,2,01,2019
2019-01-08,1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,2,01,2019
