"","crimeDate","temp","Theft"
"130","2019-05-10",49.6,0.497716894977169
"131","2019-05-11",47.6,0.506849315068493
"132","2019-05-12",46.2,0.351598173515982
"133","2019-05-13",49.7,0.552511415525114
"134","2019-05-14",54.3,0.479452054794521
"135","2019-05-15",62.3,0.584474885844749
"136","2019-05-16",66.3,0.547945205479452
"137","2019-05-17",57.9,0.452054794520548
"138","2019-05-18",55.7,0.579908675799087
"139","2019-05-19",62.7,0.360730593607306
"140","2019-05-20",53.3,0.602739726027397
"141","2019-05-21",48.5,0.429223744292237
"142","2019-05-22",61.4,0.406392694063927
"143","2019-05-23",70.1,0.557077625570776
"144","2019-05-24",62.3,0.639269406392694
"145","2019-05-25",73.6,0.584474885844749
"146","2019-05-26",70,0.447488584474886
"147","2019-05-27",61.2,0.493150684931507
"148","2019-05-28",64.5,0.570776255707763
"149","2019-05-29",59.5,0.534246575342466
"150","2019-05-30",66,0.570776255707763
"151","2019-05-31",70.5,0.570776255707763
"152","2019-06-01",71,0.625570776255708
"153","2019-06-02",60.1,0.470319634703196
"154","2019-06-03",57.8,0.493150684931507
"155","2019-06-04",64.2,0.493150684931507
"156","2019-06-05",74.4,0.625570776255708
"157","2019-06-06",65.5,0.561643835616438
"158","2019-06-07",66.2,0.5662100456621
"159","2019-06-08",67,0.73972602739726
"160","2019-06-09",68.8,0.5662100456621
"161","2019-06-10",66.7,0.634703196347032
"162","2019-06-11",68.8,0.575342465753425
"163","2019-06-12",67.4,0.579908675799087
"164","2019-06-13",57.9,0.529680365296804
"165","2019-06-14",64.8,0.589041095890411
"166","2019-06-15",66.5,0.534246575342466
"167","2019-06-16",57,0.392694063926941
"168","2019-06-17",59,0.515981735159817
"169","2019-06-18",63.9,0.538812785388128
"170","2019-06-19",66.6,0.547945205479452
"171","2019-06-20",60,0.54337899543379
"172","2019-06-21",62.8,0.634703196347032
"173","2019-06-22",66.5,0.71689497716895
"174","2019-06-23",73.1,0.506849315068493
"175","2019-06-24",71.3,0.570776255707763
"176","2019-06-25",72,0.639269406392694
"177","2019-06-26",78.2,0.698630136986301
"178","2019-06-27",77.2,0.584474885844749
"179","2019-06-28",75.7,0.689497716894977
"180","2019-06-29",78.4,0.689497716894977
"181","2019-06-30",77.7,0.611872146118721
"182","2019-07-01",77.1,0.73972602739726
"183","2019-07-02",83.9,0.497716894977169
"184","2019-07-03",77.6,0.602739726027397
"185","2019-07-04",78.1,0.365296803652968
"186","2019-07-05",81.4,0.561643835616438
"187","2019-07-06",77.7,0.54337899543379
"188","2019-07-07",70.2,0.438356164383562
"189","2019-07-08",70.8,0.71689497716895
"190","2019-07-09",74.2,0.438356164383562
"191","2019-07-10",83.4,0.707762557077626
