"","temp","month","CRIME_NUM"
"1",30.7,1,0.75609756097561
"2",27.6,1,0.567073170731707
"3",29.2,1,0.823170731707317
"4",37,1,0.676829268292683
"5",38.9,1,0.73780487804878
"6",37.9,1,0.50609756097561
"7",43.6,1,0.439024390243902
"8",41.4,1,0.48780487804878
"9",23.2,1,0.432926829268293
"10",17.9,1,0.567073170731707
"11",23.4,1,0.646341463414634
"12",30.2,1,0.536585365853659
"13",29.7,1,0.439024390243902
"14",25.4,1,0.51219512195122
"15",25.5,1,0.567073170731707
"16",31.2,1,0.573170731707317
"17",30.3,1,0.469512195121951
"18",29.7,1,0.5
"19",26.4,1,0.347560975609756
"20",11.9,1,0.335365853658537
"21",9.4,1,0.378048780487805
"22",18.7,1,0.347560975609756
"23",29.5,1,0.536585365853659
"24",16.6,1,0.365853658536585
"25",1.3,1,0.213414634146341
"26",2.1,1,0.426829268292683
"27",3.8,1,0.304878048780488
"28",18.4,1,0.25
"29",5.8,1,0.310975609756098
"30",-14.6,1,0
"31",-15,1,0.298780487804878
"32",6.9,2,0.615853658536585
"33",25.6,2,0.713414634146341
"34",42.3,2,0.579268292682927
"35",47.3,2,0.591463414634146
"36",29.5,2,0.365853658536585
"37",32.8,2,0.420731707317073
"38",35.6,2,0.439024390243902
"39",11.4,2,0.51219512195122
"40",11.8,2,0.634146341463415
"41",23.4,2,0.50609756097561
"42",28,2,0.390243902439024
"43",32,2,0.390243902439024
"44",18.5,2,0.384146341463415
"45",36.1,2,0.518292682926829
"46",22.8,2,0.634146341463415
"47",18.6,2,0.542682926829268
"48",25.3,2,0.457317073170732
"49",25.1,2,0.463414634146341
"50",21.8,2,0.378048780487805
"51",31.1,2,0.518292682926829
"52",30.9,2,0.548780487804878
"53",28.6,2,0.481707317073171
"54",35.6,2,0.597560975609756
"55",37.4,2,0.420731707317073
"56",12.3,2,0.49390243902439
"57",16.9,2,0.475609756097561
"58",24.6,2,0.457317073170732
"59",18,2,0.304878048780488
"60",26.7,3,0.548780487804878
"61",29.1,3,0.621951219512195
"62",22.2,3,0.469512195121951
"63",5.2,3,0.317073170731707
"64",11.9,3,0.335365853658537
"65",16.3,3,0.378048780487805
"66",22.7,3,0.451219512195122
"67",28,3,0.548780487804878
"68",33.5,3,0.518292682926829
"69",36.6,3,0.646341463414634
"70",32,3,0.664634146341463
"71",35.2,3,0.518292682926829
"72",44.9,3,0.51219512195122
"73",55.3,3,0.481707317073171
"74",38,3,0.658536585365854
"75",34.4,3,0.560975609756098
"76",34.8,3,0.50609756097561
"77",35.4,3,0.457317073170732
"78",38.7,3,0.414634146341463
"79",41.7,3,0.579268292682927
"80",39.8,3,0.554878048780488
"81",40.2,3,0.524390243902439
"82",36.5,3,0.670731707317073
"83",45.5,3,0.603658536585366
"84",36,3,0.481707317073171
"85",34.9,3,0.445121951219512
"86",41.8,3,0.49390243902439
"87",53.2,3,0.554878048780488
"88",46.7,3,0.536585365853659
"89",39.7,3,0.51219512195122
"90",30.7,3,0.536585365853659
"91",35,4,0.536585365853659
"92",44.7,4,0.50609756097561
"93",45.5,4,0.402439024390244
"94",46,4,0.518292682926829
"95",43.5,4,0.75
"96",51.7,4,0.76219512195122
"97",56.3,4,0.853658536585366
"98",61.2,4,0.75
"99",59.8,4,0.560975609756098
"100",40.5,4,0.603658536585366
"101",42.2,4,0.634146341463415
"102",47.9,4,0.603658536585366
"103",42.4,4,0.597560975609756
"104",36.8,4,0.463414634146341
"105",37.8,4,0.670731707317073
"106",56,4,0.49390243902439
"107",55,4,0.591463414634146
"108",58.5,4,0.48780487804878
"109",44.9,4,0.536585365853659
"110",49.5,4,0.695121951219512
"111",58.3,4,0.560975609756098
"112",68.1,4,0.689024390243902
"113",59.1,4,0.670731707317073
"114",52.7,4,0.719512195121951
"115",56.7,4,0.731707317073171
"116",55.6,4,0.701219512195122
"117",42.4,4,0.524390243902439
"118",39.1,4,0.560975609756098
"119",45.1,4,0.554878048780488
"120",44.4,4,0.51219512195122
"121",50,5,0.530487804878049
"122",44.3,5,0.475609756097561
"123",47.5,5,0.713414634146341
"124",49.5,5,0.548780487804878
"125",58.3,5,0.829268292682927
"126",59.3,5,0.615853658536585
"127",46.4,5,0.414634146341463
"128",50.1,5,0.652439024390244
"129",61.3,5,0.560975609756098
"130",49.6,5,0.518292682926829
"131",47.6,5,0.615853658536585
"132",46.2,5,0.609756097560976
"133",49.7,5,0.768292682926829
"134",54.3,5,0.573170731707317
"135",62.3,5,0.664634146341463
"136",66.3,5,0.664634146341463
"137",57.9,5,0.658536585365854
"138",55.7,5,0.725609756097561
"139",62.7,5,0.786585365853659
"140",53.3,5,0.73780487804878
"141",48.5,5,0.384146341463415
"142",61.4,5,0.628048780487805
"143",70.1,5,0.73780487804878
"144",62.3,5,0.859756097560976
"145",73.6,5,0.963414634146341
"146",70,5,0.939024390243902
"147",61.2,5,0.707317073170732
"148",64.5,5,0.579268292682927
"149",59.5,5,0.542682926829268
"150",66,5,0.646341463414634
"151",70.5,5,0.75609756097561
"152",71,6,0.804878048780488
"153",60.1,6,0.707317073170732
"154",57.8,6,0.591463414634146
"155",64.2,6,0.652439024390244
"156",74.4,6,0.731707317073171
"157",65.5,6,0.536585365853659
"158",66.2,6,0.74390243902439
"159",67,6,0.963414634146341
"160",68.8,6,0.920731707317073
"161",66.7,6,0.682926829268293
"162",68.8,6,0.75
"163",67.4,6,0.548780487804878
"164",57.9,6,0.652439024390244
"165",64.8,6,0.707317073170732
"166",66.5,6,0.847560975609756
"167",57,6,0.73780487804878
