"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","year","temp","linearStreet2019_2021.CRIME_NUM"
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,25.1,0.454545454545455
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,21.8,0.405594405594406
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,31.1,0.486013986013986
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,30.9,0.503496503496504
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,28.6,0.465034965034965
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,35.6,0.531468531468531
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,37.4,0.43006993006993
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,12.3,0.472027972027972
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,16.9,0.461538461538462
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,24.6,0.451048951048951
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,18,0.363636363636364
"60",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,26.7,0.503496503496504
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,29.1,0.545454545454545
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,22.2,0.458041958041958
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,5.2,0.370629370629371
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,11.9,0.381118881118881
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,16.3,0.405594405594406
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,22.7,0.447552447552448
"67",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,28,0.503496503496504
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,33.5,0.486013986013986
"69",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,36.6,0.559440559440559
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,32,0.56993006993007
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,35.2,0.486013986013986
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,44.9,0.482517482517482
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,55.3,0.465034965034965
"74",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,38,0.566433566433566
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,34.4,0.510489510489511
"76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2019,34.8,0.479020979020979
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2019,35.4,0.451048951048951
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2019,38.7,0.426573426573427
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2019,41.7,0.520979020979021
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2019,39.8,0.506993006993007
"81",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2019,40.2,0.48951048951049
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2019,36.5,0.573426573426573
